occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,in_large_period,in_small_period,,unique_genera
536422,occ,,I,55412,Grallator,genus,64079,Norian,,227.3,205.7,14907,yes,no,,
536423,occ,,IF,55412,Anchisauripus,genus,64083,Norian,,227.3,205.7,14907,yes,no,,
536424,occ,31549,I,55412,Coelurosaurichnus,genus,68186,Norian,,227.3,205.7,55918,yes,no,,
536598,occ,40221,IF,55526,Brachychirotherium,genus,77387,Carnian,,237,227.3,83012,yes,no,,
536602,occ,,I,55527,Grallator,genus,64079,Hettangian,,201.4,199.5,14992,yes,no,,
536604,occ,,I,55527,Eubrontes,genus,66094,Hettangian,,201.4,199.5,14992,yes,no,,
538697,occ,,IF,56029,Otozoum,genus,64089,Norian,,227.3,205.7,15109,yes,no,,
538740,occ,,,56047,Eudimorphodon,genus,38467,Alaunian,,215.38,211.18,15111,yes,no,,
538741,occ,,,56047,Clevosaurus,genus,68149,Alaunian,,215.38,211.18,15111,yes,no,,
538742,occ,,,56047,Kuehneosaurus,genus,37841,Alaunian,,215.38,211.18,15111,yes,no,,
544547,occ,,I,28334,Kayentapus,genus,68970,Late Hettangian,,201.4,199.5,15362,yes,no,,
544549,occ,,I,28334,Grallator,genus,64079,Late Hettangian,,201.4,199.5,76627,yes,no,,
544550,occ,,I,56963,Anomoepus,genus,67049,Late Hettangian,,201.4,199.5,76627,yes,no,,
544551,occ,,IF,56963,Anchisauripus,genus,64083,Late Hettangian,,201.4,199.5,15362,yes,no,,
544553,occ,15599,IF,56964,Parabrontopodus,genus,68971,Middle Hettangian,,201.4,199.5,15370,yes,no,,
544554,occ,43072,IF,56965,Shenmuichnus,genus,231004,Early Hettangian,Middle Hettangian,201.4,199.5,94121,yes,no,,
544556,occ,,I,56964,Kayentapus,genus,68970,Middle Hettangian,,201.4,199.5,15362,yes,no,,
544644,occ,,IF,56999,Anchisauripus,genus,64083,Middle Hettangian,,201.4,199.5,15370,yes,no,,
544645,occ,,I,56999,Kayentapus,genus,68970,Middle Hettangian,,201.4,199.5,15370,yes,no,,
544646,occ,,IF,56999,Parabrontopodus,genus,68971,Middle Hettangian,,201.4,199.5,15370,yes,no,,
544647,occ,,I,56999,Anomoepus,genus,67049,Middle Hettangian,,201.4,199.5,15370,yes,no,,
544692,occ,34683,I,57011,Grallator,genus,64079,Norian,Rhaetian,227.3,201.4,15378,yes,no,,
544693,occ,,IF,57012,Brachychirotherium,genus,77387,Norian,Rhaetian,227.3,201.4,65643,yes,no,,
545089,occ,,IF,57063,Pseudotetrasauropus,genus,77385,Rhaetian,,205.7,201.4,15414,yes,no,,
545090,occ,,I,57063,Grallator,genus,64079,Rhaetian,,205.7,201.4,15414,yes,no,,
545092,occ,,IF,57063,Rhynchosauroides,genus,56427,Rhaetian,,205.7,201.4,28125,yes,no,,
545093,occ,,IF,57063,Gwyneddichnium,genus,93712,Rhaetian,,205.7,201.4,28125,yes,no,,
